**************************************************************************************************
*                                                                                                *
* Component List (Generic)                                                                       *
*                                                                                                *
* E:\00.LAVORI IN CORSO\METALTRONICA\25-335-0 ( CONTROLLO GENERATORE MAMMOGRAFICO)\25-335-0.MAX  *
* Fri Feb 06 15:45:17 2026                                                                       *
*                                                                                                *
**************************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
Q20        2N7002LT1G       MOSFET_N_8       SOT23-123                       22.86 mm   2.54 mm   0       
Q21        2N7002LT1G       MOSFET_N_8       SOT23-123                       123.19 mm  14.61 mm  0       
Q22        2N7002LT1G       MOSFET_N_8       SOT23-123                       118.75 mm  14.61 mm  0       
Q23        2N7002LT1G       MOSFET_N_8       SOT23-123                       114.30 mm  14.61 mm  0       
Q24        2N7002LT1G       MOSFET_N_8       SOT23-123                       109.86 mm  14.61 mm  0       
Q25        2N7002LT1G       MOSFET_N_8       SOT23-123                       105.41 mm  14.61 mm  0       
Q26        2N7002LT1G       MOSFET_N_8       SOT23-123                       100.97 mm  14.61 mm  0       
R1         33R              R                SMD0603                         28.58 mm   29.21 mm  270     
R2         120R             R                SMD0603                         15.24 mm   23.50 mm  90      
R3         470R             R                SMD0603                         17.15 mm   23.50 mm  270     
R4         470R             R                SMD0603                         15.24 mm   27.31 mm  270     
R5         120R             R                SMD0603                         36.83 mm   26.04 mm  270     
R6         470R             R                SMD0603                         17.15 mm   27.31 mm  90      
R7         2K7              R                SMD0603                         67.31 mm   10.16 mm  270     
R8         1K               R                SMD0603                         67.31 mm   21.59 mm  90      
R9         33K              R                SMD0603                         80.01 mm   21.59 mm  90      
R10        2K7              R                SMD0603                         81.92 mm   21.59 mm  90      
R11        4K7              R                SMD0603                         80.01 mm   10.16 mm  270     
R12        33K              R                SMD0603                         69.22 mm   21.59 mm  270     
R13        1K               R                SMD0603                         81.92 mm   10.16 mm  90      
R14        10K              R                SMD0603                         80.01 mm   6.99 mm   90      
R15        10K              R                SMD0603                         67.31 mm   6.99 mm   90      
R16        33K              R                SMD0603                         75.57 mm   21.59 mm  90      
R17        2K7              R                SMD0603                         77.47 mm   21.59 mm  90      
R18        2K7              R                SMD0603                         89.54 mm   10.16 mm  270     
R19        1K               R                SMD0603                         88.90 mm   21.59 mm  90      
R20        4K7              R                SMD0603                         76.20 mm   6.99 mm   270     
R21        1K               R                SMD0603                         76.20 mm   10.16 mm  270     
R22        10K              R                SMD0603                         78.11 mm   10.16 mm  270     
R23        33K              R                SMD0603                         90.81 mm   21.59 mm  270     
R24        10K              R                SMD0603                         89.54 mm   6.99 mm   270     
R25        2K7              R                SMD0603                         86.36 mm   21.59 mm  90      
R26        33K              R                SMD0603                         84.46 mm   21.59 mm  90      
R27        4K7              R                SMD0603                         85.09 mm   10.16 mm  270     
R28        2K7              R                SMD0603                         71.76 mm   10.16 mm  270     
R29        1K               R                SMD0603                         71.76 mm   21.59 mm  90      
R30        1K               R                SMD0603                         87.00 mm   10.16 mm  90      
R31        10K              R                SMD0603                         85.09 mm   6.99 mm   90      
R32        10K              R                SMD0603                         71.76 mm   6.99 mm   270     
R33        33K              R                SMD0603                         73.66 mm   21.59 mm  270     
R34        3K3              R                SMD0603                         106.68 mm  19.69 mm  270     
R35        1K               R                SMD0603                         104.14 mm  19.69 mm  270     
R36        1K               R                SMD0603                         110.49 mm  5.72 mm   270     
R37        1K               R                SMD0603                         108.59 mm  5.72 mm   270     
R38        2K2              R                SMD0603                         93.35 mm   21.59 mm  90      
R39        330R             R                SMD0603                         93.98 mm   10.16 mm  90      
